date,vth_shift_mv
2021-01-01,6.714
2021-01-02,6.24
2021-01-03,7.878
2021-01-04,5.772
2021-01-05,6.932
2021-01-06,6.556
2021-01-07,6.476
2021-01-08,7.213
2021-01-09,5.798
2021-01-10,6.241
2021-01-11,6.703
2021-01-12,7.658
2021-01-13,6.86
2021-01-14,7.291
2021-01-15,5.939
2021-01-16,6.28
2021-01-17,7.412
2021-01-18,6.642
2021-01-19,6.954
2021-01-20,7.38
2021-01-21,5.941
2021-01-22,6.473
2021-01-23,7.056
2021-01-24,6.36
2021-01-25,6.809
2021-01-26,7.173
2021-01-27,6.893
2021-01-28,7.122
2021-01-29,7.309
2021-01-30,7.985
2021-01-31,8.141
2021-02-01,7.186
2021-02-02,7.002
2021-02-03,7.893
2021-02-04,7.737
2021-02-05,7.639
2021-02-06,7.094
2021-02-07,7.904
2021-02-08,8.051
2021-02-09,6.756
2021-02-10,8.192
2021-02-11,7.681
2021-02-12,7.38
2021-02-13,6.998
2021-02-14,7.651
2021-02-15,7.826
2021-02-16,7.705
2021-02-17,7.326
2021-02-18,7.366
2021-02-19,8.352
2021-02-20,8.06
2021-02-21,8.214
2021-02-22,8.423
2021-02-23,8.504
2021-02-24,9.05
2021-02-25,8.184
2021-02-26,8.127
2021-02-27,7.815
2021-02-28,8.456
2021-03-01,8.501
2021-03-02,8.027
2021-03-03,8.428
2021-03-04,8.473
2021-03-05,10.353
2021-03-06,8.303
2021-03-07,9.22
2021-03-08,8.839
2021-03-09,8.628
2021-03-10,8.917
2021-03-11,8.93
2021-03-12,8.774
2021-03-13,8.704
2021-03-14,8.681
2021-03-15,8.714
2021-03-16,9.085
2021-03-17,8.926
2021-03-18,9.506
2021-03-19,9.753
2021-03-20,9.075
2021-03-21,8.992
2021-03-22,9.841
2021-03-23,9.185
2021-03-24,9.364
2021-03-25,9.106
2021-03-26,9.404
2021-03-27,10.024
2021-03-28,9.864
2021-03-29,8.909
2021-03-30,9.069
2021-03-31,9.33
2021-04-01,9.421
2021-04-02,9.962
2021-04-03,8.585
2021-04-04,10.334
2021-04-05,9.153
2021-04-06,10.285
2021-04-07,9.175
2021-04-08,9.741
2021-04-09,10.314
2021-04-10,9.938
2021-04-11,10.542
2021-04-12,11.251
2021-04-13,9.775
2021-04-14,9.584
2021-04-15,9.525
2021-04-16,9.394
2021-04-17,10.047
2021-04-18,9.421
2021-04-19,8.932
2021-04-20,9.97
2021-04-21,11.134
2021-04-22,10.499
2021-04-23,9.757
2021-04-24,9.997
2021-04-25,10.875
2021-04-26,10.611
2021-04-27,10.337
2021-04-28,11.138
2021-04-29,10.762
2021-04-30,10.452
2021-05-01,10.679
2021-05-02,10.871
2021-05-03,11.387
2021-05-04,10.241
2021-05-05,10.748
2021-05-06,10.702
2021-05-07,9.878
2021-05-08,10.576
2021-05-09,10.142
2021-05-10,11.03
2021-05-11,10.908
2021-05-12,11.18
2021-05-13,11.196
2021-05-14,10.291
2021-05-15,11.118
2021-05-16,11.378
2021-05-17,11.651
2021-05-18,11.223
2021-05-19,10.942
2021-05-20,11.388
2021-05-21,11.964
2021-05-22,11.442
2021-05-23,10.507
2021-05-24,11.626
2021-05-25,11.426
2021-05-26,11.439
2021-05-27,11.248
2021-05-28,11.501
2021-05-29,11.556
2021-05-30,10.815
2021-05-31,11.955
2021-06-01,11.432
2021-06-02,11.536
2021-06-03,11.428
2021-06-04,12.356
2021-06-05,12.18
2021-06-06,12.425
2021-06-07,11.556
2021-06-08,11.043
2021-06-09,11.605
2021-06-10,12.331
2021-06-11,12.418
2021-06-12,11.379
2021-06-13,12.459
2021-06-14,11.13
2021-06-15,11.809
2021-06-16,11.93
2021-06-17,12.636
2021-06-18,10.97
2021-06-19,11.185
2021-06-20,10.785
2021-06-21,11.446
2021-06-22,10.945
2021-06-23,12.163
2021-06-24,11.396
2021-06-25,11.645
2021-06-26,13.037
2021-06-27,12.254
2021-06-28,11.75
2021-06-29,12.305
2021-06-30,12.361
2021-07-01,12.656
2021-07-02,11.698
2021-07-03,12.209
2021-07-04,12.082
2021-07-05,12.046
2021-07-06,11.886
2021-07-07,12.526
2021-07-08,12.49
2021-07-09,11.333
2021-07-10,11.77
2021-07-11,12.082
2021-07-12,12.54
2021-07-13,12.263
2021-07-14,12.584
2021-07-15,12.055
2021-07-16,11.893
2021-07-17,12.255
2021-07-18,12.833
2021-07-19,11.832
2021-07-20,11.966
2021-07-21,11.805
2021-07-22,12.11
2021-07-23,12.651
2021-07-24,12.163
2021-07-25,12.071
2021-07-26,11.967
2021-07-27,11.556
2021-07-28,12.017
2021-07-29,10.728
2021-07-30,12.268
2021-07-31,11.852
2021-08-01,12.399
2021-08-02,12.149
2021-08-03,12.107
2021-08-04,11.708
2021-08-05,12.586
2021-08-06,12.557
2021-08-07,11.463
2021-08-08,12.159
2021-08-09,12.857
2021-08-10,12.176
2021-08-11,11.605
2021-08-12,11.13
2021-08-13,12.745
2021-08-14,11.384
2021-08-15,11.04
2021-08-16,12.548
2021-08-17,12.303
2021-08-18,12.027
2021-08-19,12.184
2021-08-20,11.93
2021-08-21,12.216
2021-08-22,11.992
2021-08-23,12.047
2021-08-24,11.946
2021-08-25,12.194
2021-08-26,11.567
2021-08-27,11.981
2021-08-28,11.009
